Flock_ID,Julian_Date,Season,Site_Segment,Transect,Site,Minute,Minute_2,Chlorospingus,Species,Size,Furnariid_Sp,Tyrannid_Sp,Migrant_Sp,Thraupid_Sp,SESFRic,SESFDis,SESPD,SESMPD,Dist_Edge,1km_forest,1km_edge,Canopy_Cover,Understory_Density,Tree_Size,Vertical_Structure,Trogon collaris,Trogon personatus,Eubucco bourcierii,Veniliornis dignus,Veniliornis fumigatus,Colaptes rubiginosus,Piaya cayanna,Picumnus granadensis,Premnornis guttuligera,Premnoplex brunnescens,Margarornis stellatus,Pseudocolaptes boissonneautii,Xenops rutilans,Syndactyla subalaris,Anabacerthia striaticollis,Philydor rufum,Thripadectes holostictus,Thripadectes virgaticeps,Dendrocolaptes picumnus,Xiphorhynchus triangularis,Lepidocolaptes lacrymiger,Dysithamnus mentalis,Phyllomyias nigrocapillus,Phyllomyias cinereiceps,Mecocerculus poecilocercus,Phylloscartes poecilotis,Phylloscartes opthalmicus,Leptopogon rufipectus,Mionectes striaticollis,Myiophobus flavicans,Nephelomyias pulcher,Myiophobus fasciatus,Pyrrhomyias cinnamomeus,Contopus fumigatus,Myiarchus tuberculifer,Myiarchus cephalotes,Pipreola riefferi,Ampelioides tschudii,Pachyramphus versicolor,Pachyramphus polychopterus,Snowornis cryptolophus,Cyclarhis nigrirostris,Vireo leucophrys,Hylophilus semibrunneus,Cyanocorax yncas,Henicorhina leucophrys,Hemispingus frontalis,Creurgops verticalis,Anisognathus notabilis,Anisognathus somptuosus,Iridosornis porphyrocephalus,Chlorochrysa nitidissima,Sporothraupis cyanocephala,Tangara ruficervix,Tangara heinei,Tangara nigroviridis,Tangara labradorides,Tangara gyrola,Tangara xanthocephala,Tangara arthus,Tangara vitriolina,Chlorophanes spiza,Diglossa caerulescens,Diglossa cyanea,Diglossa albilatera,Tiaris olivaceus,Coereba flaveola,Saltator atripennis,Arremonops bruneinucha,Atlapetes albinucha,Chlorospingus canigularis,Chlorospingus semifuscus,Habia cristata,Piranga flava,Amblycercus holostictus,Setophaga pitiayumi,Myiothlypis coronatus,Basileuterus tristriatus,Myioborus miniatus,Euphonia laniirostris,Euphonia xanthogaster,Chlorophonia phyrrophrys,Chlorophonia cyanea,Mniotilta varia,Setophaga fusca,Cardellina canadensis,Vermivora chrysoptera,Vireo flavifrons,Piranga rubra,Leiothlypis peregrina,Setophaga cerulea,Myrmotherula schisticolor,Setophaga castanea,Campylorhamphus pusillus,Dendrocincla tyrannina,Cinnycerthia olivacea,Chlorornis riefferii,Pheucticus ludovicianus,Vireo olivaceus
52,167,0,Rocio-4,El Rocio,8,604,364816,0,13,18,1,1,0,5,-1.815753565,-0.867315148,0.942180346,0.353950456,103,43.19,25.16,0.034799103,1.471600904,-1.309376369,0.732775107,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,167,0,Rocio-1,El Rocio,8,661,436921,0,12,18,2,1,0,3,-0.795395219,-0.906308527,1.491780853,1.405310742,158,43.19,25.16,-0.597911858,0.284234169,-1.894967946,1.122565949,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,165,0,Guardia-1,La Guardia,8,860,739600,0,6,9,2,0,0,2,-0.899704568,-1.486537411,-1.022605355,-1.447422143,4,49.42,26.51,0.825687803,1.736452869,-1.686062568,0.287167713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,165,0,Guardia-1,La Guardia,8,980,960400,0,9,12,2,2,0,2,-0.625912599,0.185173377,0.329041518,0.559625824,4,49.42,26.51,0.825687803,1.736452869,-1.686062568,0.287167713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,168,0,Rocio-4,El Rocio,8,516,266256,0,8,11,2,0,0,3,-0.793950104,-1.780064077,-1.100889799,-0.63403599,103,43.19,25.16,0.034799103,1.471600904,-1.309376369,0.732775107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,168,0,NA,La Guardia,8,575,330625,0,14,16,2,1,0,3,-1.372859438,-1.312009235,0.287440345,0.306398852,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,168,0,Rocio-2,El Rocio,8,610,372100,0,15,19,3,2,0,5,-1.171475493,-1.356872357,-0.680865033,-0.772925891,98,43.19,25.16,-1.388800558,1.151038716,-2.735824719,1.077132413,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,168,0,Rocio-3,El Rocio,8,640,409600,1,11,14,3,2,0,2,-1.244326185,-1.643481515,-0.875335476,0.11426744,83,43.19,25.16,-1.388800558,2.161760666,-2.119182082,0.580645173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,168,0,Rocio-4,El Rocio,8,650,422500,0,4,5,1,0,0,1,-0.169783858,-0.591253862,1.051160989,0.804155402,103,43.19,25.16,0.034799103,1.471600904,-1.309376369,0.732775107,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,168,0,NA,El Rocio,8,690,476100,1,15,20,2,1,0,6,-1.581408443,-2.609826994,-0.043685844,0.119976766,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
